Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
K4NDIZR6,conferencePaper,2023.0,"Händler, Thorsten",A Taxonomy for Autonomous LLM-Powered Multi-Agent Architectures.,KMIS,,,,https://www.scitepress.org/Papers/2023/122391/122391.pdf,"Large language models (LLMs) have revolutionized the field of artificial intelligence, endowing it with sophisticated language understanding and generation capabilities. However, when faced with more complex and interconnected tasks that demand a profound and iterative thought process, LLMs reveal their inherent limitations. Autonomous LLM-powered multi-agent systems represent a strategic response to these challenges. While these architectures hold promising potential in amplifying AI capabilities, striking the right balance between different levels of autonomy and alignment remains the crucial challenge for their effective operation. This paper proposes a comprehensive multi-dimensional taxonomy, engineered to analyze how autonomous LLM-powered multi-agent systems balance the dynamic interplay between autonomy and alignment across various aspects inherent to architectural viewpoints such as goal-driven task management, agent composition, multi-agent collaboration, and context interaction. Our taxonomy aims to empower researchers, engineers, and AI practitioners to systematically analyze the architectural dynamics and balancing strategies employed by these increasingly prevalent AI systems. The exploratory taxonomic classification of selected representative LLM-powered multi-agent systems illustrates its practical utility and reveals potential for future research and development. An extended version of this paper is available on arXiv (Händler, 2023).",2023,2025-05-22 17:48:44,2025-05-26 12:35:32,2025-05-22 17:48:31,85–98,,,,,,,,,,,,,,,,,,Google Scholar,,,,/Users/ksoares/Zotero/storage/IQPV887X/Händler - 2023 - A Taxonomy for Autonomous LLM-Powered Multi-Agent Architectures..pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK3M3X9P,journalArticle,2023.0,"Ababa, Girma","Biology, taxonomy, genetics, and management of <i>Zymoseptoria tritici</i> : the causal agent of wheat leaf blotch",Mycology,,"2150-1203, 2150-1211",10.1080/21501203.2023.2241492,https://www.tandfonline.com/doi/full/10.1080/21501203.2023.2241492,"Septoria tritici blotch or Septoria leaf blotch has been used for long time, but leaf blotch is a correct disease name. Moreover, Lb resistant gene is the correct name, but, not Stb gene. It has sexual and asexual parts on the mycelia, known as heterothallic fungi. Its pathogenic diversity ranged from 40% to 93% and has produced a wide variety of AvrLb6 haplotypes. M. graminicola has a plasmogamy and karyogamy sexual process. The pathogen can use macropycnidiospores, micropycnidiospores, and pycnidia vegetative growths for infection and overwintering. Synthetic M3, Kavkaz-K4500, Synthetic 6×, and TE9111 wheat genotypes have horizontal resistance. Avirulence (Avr) genes in Z. tritici and their matching wheat (R) genes indicate gene for gene mechanisms of resistance. Twenty-two R genes (vertical resistance) have been identified. In both horizontal and vertical resistance, different Lb genes have been broken down due to new Z.tritici virulent gene and currently Lb19 resistant gene is being recommended. Mixing of resistant and susceptible cultivars is also the most effective management strategy. Moreover, different cultural practices and biological control have been proposed. Lastly, different fungicides are also available. However, in developing countries cultivar mixture, isolates diversity, biological control, and epidemic studies have been greatly missed.",2023-10-02,2025-05-22 17:48:44,2025-05-26 12:40:38,2025-05-22 17:48:32,292-315,,4,14.0,,Mycology,"Biology, taxonomy, genetics, and management of <i>Zymoseptoria tritici</i>",,,,,,,en,,,,,DOI.org (Crossref),,,,"/Users/ksoares/Zotero/storage/DLGFA846/Ababa - 2023 - Biology, taxonomy, genetics, and management of Zymoseptoria tritici  the causal agent of whe.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6MXWY4DH,journalArticle,2021.0,"Saporiti, Viviane; Franzo, Giovanni; Sibila, Marina; Segalés, Joaquim",Porcine circovirus 3 (PCV‐3) as a causal agent of disease in swine and a proposal of PCV‐3 associated disease case definition,Transboundary and Emerging Diseases,,"1865-1674, 1865-1682",10.1111/tbed.14204,https://onlinelibrary.wiley.com/doi/10.1111/tbed.14204,"Porcine circovirus 3 (PCV-3) was discovered in 2015 using next-generation sequencing (NGS) methods. Since then, the virus has been detected worldwide in pigs displaying several clinical–pathological outcomes as well as in healthy animals. The objective of this review is to critically discuss the evidence existing so far regarding PCV3 as a swine pathogen. In fact, a significant number of publications claim PCV-3  as a disease causal infectious agent, but very few of them have shown strong evidence of such potential causality. The most convincing proofs of disease association  are those that demonstrate a clinical picture linked to multisystemic lymphoplasmacytic to lymphohistiocytic perivascular inflammation and presence of viral nucleic acid  within these lesions. Based on these evidence, individual case definitions for PCV-3reproductive disease and PCV-3-systemic disease are proposed to standardize diagnostic criteria for PCV-3-associated diseases. However, the real frequency of these  clinical–pathological conditions linked to the novel virus is unknown, and the most frequent outcome of PCV-3 infection is likely subclinical based on its worlwide distribution.",2021-11,2025-05-22 17:48:44,2025-05-26 12:43:42,2025-05-22 17:48:34,2936-2948,,6,68.0,,Transbound Emerg Dis,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/ksoares/Zotero/storage/RU8UWALI/Saporiti et al. - 2021 - Porcine circovirus 3 (PCV‐3) as a causal agent of disease in swine and a proposal of PCV‐3 associate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSZDHI6A,journalArticle,2022.0,"Koledenkova, Kseniia; Esmaeel, Qassim; Jacquard, Cédric; Nowak, Jerzy; Clément, Christophe; Ait Barka, Essaid",Plasmopara viticola the causal agent of downy mildew of grapevine: from its taxonomy to disease management,Frontiers in Microbiology,,,,https://www.frontiersin.org/articles/10.3389/fmicb.2022.889472/full,"Plasmopara viticola (P. viticola, Berk. & M. A. Curtis; Berl. & De Toni) causing grapevine downy mildew is one of the most damaging pathogens to viticulture worldwide. Since its recognition in the middle of nineteenth century, this disease has spread from America to Europe and then to all grapevine-growing countries, leading to significant economic losses due to the lack of efficient disease control. In 1885 copper was found to suppress many pathogens, and is still the most effective way to control downy mildews. During the twentieth century, contact and penetrating single-site fungicides have been developed for use against plant pathogens including downy mildews, but wide application has led to the appearance of pathogenic strains resistant to these treatments. Additionally, due to the negative environmental impact of chemical pesticides, the European Union restricted their use, triggering a rush to develop alternative tools such as resistant cultivars breeding, creation of new active ingredients, search for natural products and biocontrol agents that can be applied alone or in combination to kill the pathogen or mitigate its effect. This review summarizes data about the history, distribution, epidemiology, taxonomy, morphology, reproduction and infection mechanisms, symptoms, host-pathogen interactions, host resistance and control of the P. viticola, with a focus on sustainable methods, especially the use of biocontrol agents.",2022,2025-05-22 17:48:44,2025-05-26 13:08:23,2025-05-22 17:48:34,889472,,,13.0,,,Plasmopara viticola the causal agent of downy mildew of grapevine,,,,,,,,,,,,Google Scholar,,Publisher: Frontiers Media SA,,/Users/ksoares/Zotero/storage/L4HIKTGX/Koledenkova et al. - 2022 - Plasmopara viticola the causal agent of downy mildew of grapevine from its taxonomy to disease mana.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3XICYMG,journalArticle,2024.0,"Wachowiak, Lennart; Coles, Andrew; Canal, Gerard; Celiktutan, Oya",A Taxonomy of Explanation Types and Need Indicators in Human–Agent Collaborations,International Journal of Social Robotics,,"1875-4791, 1875-4805",10.1007/s12369-024-01148-8,https://link.springer.com/10.1007/s12369-024-01148-8,"Abstract             In recent years, explanations have become a pressing matter in AI research. This development was caused by the increased use of black-box models and a realization of the importance of trustworthy AI. In particular, explanations are necessary for human–agent interactions to ensure that the user can trust the agent and that collaborations are effective. Human–agent interactions are complex social scenarios involving a user, an autonomous agent, and an environment or task with its own distinct properties. Thus, such interactions require a wide variety of explanations, which are not covered by the methods of a single AI discipline, such as computer vision or natural language processing. In this paper, we map out what types of explanations are important for human–agent interactions, surveying the field via a scoping review. In addition to the typical introspective explanation tackled by explainability researchers, we look at assistive explanations, aiming to support the user with their task. Secondly, we survey what causes the need for an explanation in the first place. We identify a variety of human–agent interaction-specific causes and categorize them by whether they are centered on the agent’s behavior, the user’s mental state, or an external entity. Our overview aims to guide robotics practitioners in designing agents with more comprehensive explanation-related capacities, considering different explanation types and the concrete times when explanations should be given.",2024-07,2025-05-22 17:48:44,2025-05-22 17:48:44,2025-05-22 17:48:36,1681-1692,,7,16.0,,Int J of Soc Robotics,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/ksoares/Zotero/storage/8Y7GUELW/Wachowiak et al. - 2024 - A Taxonomy of Explanation Types and Need Indicators in Human–Agent Collaborations.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMLWVGUT,journalArticle,2023.0,"Mannaa, Mohamed; Han, Gil; Jeong, Taeho; Kang, Minhee; Lee, Duyoung; Jung, Hyejung; Seo, Young-Su; Fraire-Velazquez, Saul; Andrade Torres, Angel",Taxonomy-guided selection of <i>Paraburkholderia busanensis</i> sp. nov.: a versatile biocontrol agent with mycophagy against <i>Colletotrichum scovillei</i> causing pepper anthracnose,Microbiology Spectrum,,2165-0497,10.1128/spectrum.02426-23,https://journals.asm.org/doi/10.1128/spectrum.02426-23,"ABSTRACT                            This study introduces a novel approach based on the taxonomy-guided selection of bacterial biocontrol agents from a known beneficial taxonomic group. Following 16S rRNA screening, we focused on the genus               Paraburkholderia               , which harbors strains with large genomes and versatile benefits to plants. A strain designated P39 was selected, identified, and characterized for its biocontrol activity against               Colletotrichum scovillei               . Strain P39 exhibited antagonism against               C. scovillei               by producing compounds, including volatiles, with antifungal activity, both               in vitro               and on pepper fruits. Genomic, physiological, and biochemical analyses revealed that the selected strain represents a novel species, named               Paraburkholderia busanensis               . Genomic analyses provided insights into the fitness and biocontrol activities of the selected strains. Moreover, P39 displays mycophagy, consuming fungal mycelia and transforming them into bacterial biomass, particularly in nutrient-poor media supplemented with fungal mycelia. The genome harbored chitin and N-acetylglucosamine utilization genes, suggesting a proposed pathway for the utilization of fungal cells as a nutrient source. Microscopic observations further supported the ability of this strain to rupture and damage fungal hyphae, depriving them of their cellular constituents. This study successfully demonstrated the implementation of a taxonomy-guided approach for the selection of bacterial strains for biocontrol. These findings contribute to our understanding of biocontrol strategies, bacteria-fungi interactions, and the identification of               Paraburkholderia busanensis               sp. nov. as a potential candidate for the biocontrol of pepper anthracnose. Additionally, this strain serves as a valuable resource for antifungal compounds and volatiles, and for the study of bacteria-fungal interactions and mycophagy.                                         IMPORTANCE                                Traditional control methods for postharvest diseases rely on fungicides, which cause human health and environmental concerns. This study introduces a taxonomy-guided strategy for selecting biocontrol agents. By focusing on                 Paraburkholderia                 group, which harbors diverse plant-beneficial strains, the inadvertent selection of harmful strains was circumvented, thereby obviating the need for laborious                 in vitro                 screening assays. A highly promising candidate, strain P39, has been identified, exhibiting remarkable biocontrol activity against                 Colletotrichum scovillei                 . Through comprehensive genomic, physiological, and biochemical analyses, P39 was characterized as a novel species within the                 Paraburkholderia                 genus and designated                 Paraburkholderia busanensis                 . Moreover, these findings deepen our understanding of bacterial-fungal interactions, as they elucidate a potential pathway for the utilization of fungal chitin, thereby enhancing our understanding of bacterial mycophagy.                 P. busanensis                 is a promising source of antifungal volatiles and putative novel secondary metabolites.                                       ,                             Traditional control methods for postharvest diseases rely on fungicides, which cause human health and environmental concerns. This study introduces a taxonomy-guided strategy for selecting biocontrol agents. By focusing on               Paraburkholderia               group, which harbors diverse plant-beneficial strains, the inadvertent selection of harmful strains was circumvented, thereby obviating the need for laborious               in vitro               screening assays. A highly promising candidate, strain P39, has been identified, exhibiting remarkable biocontrol activity against               Colletotrichum scovillei               . Through comprehensive genomic, physiological, and biochemical analyses, P39 was characterized as a novel species within the               Paraburkholderia               genus and designated               Paraburkholderia busanensis               . Moreover, these findings deepen our understanding of bacterial-fungal interactions, as they elucidate a potential pathway for the utilization of fungal chitin, thereby enhancing our understanding of bacterial mycophagy.               P. busanensis               is a promising source of antifungal volatiles and putative novel secondary metabolites.",2023-12-12,2025-05-22 17:48:44,2025-05-22 17:48:44,2025-05-22 17:48:38,e02426-23,,6,11.0,,Microbiol Spectr,Taxonomy-guided selection of <i>Paraburkholderia busanensis</i> sp. nov.,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/ksoares/Zotero/storage/7WHERVRL/Mannaa et al. - 2023 - Taxonomy-guided selection of Paraburkholderia busanensis sp. nov. a versatile biocontrol age.pdf,,,,"Arias, Renee S.",,,"Fraire-Velazquez, Saul; Andrade Torres, Angel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIL9NU5M,journalArticle,2023.0,"Händler, Thorsten",Balancing autonomy and alignment: a multi-dimensional taxonomy for autonomous LLM-powered multi-agent architectures,arXiv preprint arXiv:2310.03659,,,,https://arxiv.org/abs/2310.03659,"Large language models (LLMs) have revolutionized the field of artificial intelligence, endowing it with sophisticated language understanding and generation capabilities. However, when faced with more complex and interconnected tasks that demand a profound and iterative thought process, LLMs reveal their inherent limitations. Autonomous LLM-powered multi-agent systems represent a strategic response to these challenges. Such systems strive for autonomously tackling user-prompted goals by decomposing them into manageable tasks and orchestrating their execution and result synthesis through a collective of specialized intelligent agents. Equipped with LLM-powered reasoning capabilities, these agents harness the cognitive synergy of collaborating with their peers, enhanced by leveraging contextual resources such as tools and datasets. While these architectures hold promising potential in amplifying AI capabilities, striking the right balance between different levels of autonomy and alignment remains the crucial challenge for their effective operation. This paper proposes a comprehensive multi-dimensional taxonomy, engineered to analyze how autonomous LLM-powered multi-agent systems balance the dynamic interplay between autonomy and alignment across various aspects inherent to architectural viewpoints such as goal-driven task management, agent composition, multi-agent collaboration, and context interaction. It also includes a domain-ontology model specifying fundamental architectural concepts. Our taxonomy aims to empower researchers, engineers, and AI practitioners to systematically analyze, compare, and understand the architectural dynamics and balancing strategies employed by these increasingly prevalent AI systems, thus contributing to ongoing efforts to develop more reliable and efficient solutions. The exploratory taxonomic classification of selected representative LLM-powered multi-agent systems illustrates its practical utility and reveals potential for future research and development.",2023,2025-05-22 17:48:44,2025-05-26 12:40:24,2025-05-22 17:48:41,,,,,,,Balancing autonomy and alignment,,,,,,,,,,,,Google Scholar,,,,/Users/ksoares/Zotero/storage/AWLBZSUT/Händler - 2023 - Balancing autonomy and alignment a multi-dimensional taxonomy for autonomous LLM-powered multi-agen.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCBEN7A7,journalArticle,2021.0,"Viciriuc, Ionela‐Mădălina; Thaon, Marcel; Moriya, Seiichi; Warot, Sylvie; Zhang, Jinping; Aebi, Alexandre; Ris, Nicolas; Fusu, Lucian; Borowiec, Nicolas",Contribution of integrative taxonomy to tracking interspecific hybridisations between the biological control agent <i>Torymus sinensis</i> and its related taxa,Systematic Entomology,,"0307-6970, 1365-3113",10.1111/syen.12493,https://resjournals.onlinelibrary.wiley.com/doi/10.1111/syen.12493,"Abstract                            Native to China, the chestnut gall wasps               Dryocosmus kuriphilus               Yasumatsu (Hymenoptera, Cynipidae) has invaded several countries on three continents in about half a century. To reduce the negative impact on the chestnut industry, the hymenopteran parasitoid               Torymus sinensis               Kamijo (Hymenoptera, Torymidae) was firstly translocated from China to Japan and then from Japan to other countries. From an agronomic point of view, this classical biological control programme is perceived as a great success story even if in Japan it was overshadowed by evidence of hybridisation with the indigenous species               Torymus beneficus               Yasumatsu & Kamijo. Based on numerous specimens collected in France and Italy but also in Asia, as well as on published data, we detected molecular and phenotypic signatures of a possible hybridisation. Our results evidenced for the first time that the European stock of               T. sinensis               has some rare molecular signatures of historical hybridisation that took place in Japan (0.66% of the mitochondrial haplotypes). Our morphometric study also shows that European and Japanese               T. sinensis               are morphologically intermediate between the two species that hybridised. The identity of the early‐ and late‐season strains of               T. beneficus               is discussed.               Torymus beneficus               late‐season strain (TbL) is considered to be the same as               T. sinensis               and only the early‐season strain (TbE) is the true               T. beneficus               .               Torymus beneficus               is morphologically very close to               T. sinensis               , and the interspecific distance of               COI               , though large, is comparable with the larger intraspecific variability found in other Chalcidoidea species. Though the two could be regarded as subspecies, for the stability of nomenclature it is better to continue treating them as distinct species.",2021-10,2025-05-22 17:48:44,2025-05-22 17:48:44,2025-05-22 17:48:42,839-855,,4,46.0,,Systematic Entomology,,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
